Major Citie,Country Name,UTC Dif,Sum,Sum T
パゴパゴ,アメリカ領サモア,-11,-11,0
ニウエ,ニウエ,-11,-11,0
ミッドウェー島,合衆国領有小離島,-11,-11,0
ホノルル（ハワイ）,アメリカ,-10,-10,0
ラロトンガ島,クック諸島,-10,-10,0
タヒチ島,フランス領ポリネシア,-10,-10,0
ジョンストン島,合衆国領有小離島,-10,-10,0
マルキーズ諸島,フランス領ポリネシア,-9.5,-9.5,0
アダック,アメリカ,-10,-9,1
ガンビエ諸島,フランス領ポリネシア,-9,-9,0
アンカレッジ（アラスカ）,アメリカ,-9,-8,1
クリッパートン島,クリッパートン島,-8,-8,0
ピトケアン諸島,ピトケアン諸島,-8,-8,0
フェニックス,アメリカ,-7,-7,0
ロサンゼルス,アメリカ,-8,-7,1
バンクーバー,カナダ,-8,-7,1
ティファナ,メキシコ,-8,-7,1
デンバー,アメリカ,-7,-6,1
ガラパゴス諸島,エクアドル,-6,-6,0
サンサルバドル,エルサルバドル,-6,-6,0
レジャイナ,カナダ,-6,-6,0
エドモントン,カナダ,-7,-6,1
グアテマラシティ,グアテマラ,-6,-6,0
サンホセ,コスタリカ,-6,-6,0
イースター島,チリ,-7,-6,1
マナグア,ニカラグア,-6,-6,0
ベリーズシティ,ベリーズ,-6,-6,0
テグシガルパ,ホンジュラス,-6,-6,0
チワワ,メキシコ,-7,-6,1
シカゴ,アメリカ,-6,-5,1
グアヤキル,エクアドル,-5,-5,0
ウィニペグ,カナダ,-6,-5,1
ケイマン諸島,ケイマン諸島,-5,-5,0
ボゴタ,コロンビア,-5,-5,0
キングストン,ジャマイカ,-5,-5,0
パナマ市,パナマ,-5,-5,0
リオブランコ,ブラジル,-5,-5,0
リマ,ペルー,-5,-5,0
メキシコシティ,メキシコ,-6,-5,1
カンクン,メキシコ,-5,-5,0
ニューヨーク,アメリカ,-5,-4,1
セント・トーマス島,アメリカ領ヴァージン諸島,-4,-4,0
アルバ,アルバ,-4,-4,0
アンギラ,アンギラ,-4,-4,0
アンティグア島,アンティグア・バーブーダ,-4,-4,0
トルトラ島,イギリス領ヴァージン諸島,-4,-4,0
ジョージタウン,ガイアナ,-4,-4,0
トロント,カナダ,-5,-4,1
ハバナ,キューバ,-5,-4,1
キュラソー,キュラソー,-4,-4,0
グアドループ,グアドループ,-4,-4,0
グレナダ,グレナダ,-4,-4,0
サン・バルテルミー島,サン・バルテルミー島,-4,-4,0
マリゴ,サン・マルタン,-4,-4,0
シント・マールテン,シント・マールテン,-4,-4,0
セントクリストファー島,セントクリストファー・ネービス,-4,-4,0
セントビンセント,セントビンセントおよびグレナディーン諸島,-4,-4,0
セントルシア,セントルシア,-4,-4,0
グランドターク島,タークス・カイコス諸島,-5,-4,1
サンティアゴ,チリ,-5,-4,1
サントドミンゴ,ドミニカ共和国,-4,-4,0
ドミニカ島,ドミニカ国,-4,-4,0
ポートオブスペイン,トリニダード・トバゴ,-4,-4,0
ポルトープランス,ハイチ,-4,-4,0
ナッソー,バハマ,-5,-4,1
アスンシオン,パラグアイ,-5,-4,1
バルバドス,バルバドス,-4,-4,0
サンフアン,プエルトリコ,-4,-4,0
カンポ・グランデ,ブラジル,-4,-4,0
マナウス,ブラジル,-4,-4,0
カラカス,ベネズエラ,-4,-4,0
ボネール島,ボネール、シント・ユースタティウス及びサバ,-4,-4,0
ラパス,ボリビア,-4,-4,0
マルティニーク,マルティニーク,-4,-4,0
モントセラト,モントセラト,-4,-4,0
ブエノスアイレス,アルゼンチン,-3,-3,0
モンテビデオ,ウルグアイ,-3,-3,0
ハリファックス,カナダ,-4,-3,1
チューレ,グリーンランド,-4,-3,1
パラマリボ,スリナム,-3,-3,0
プンタ・アレーナス,チリ,-3,-3,0
パーマー基地,パーマー基地,-3,-3,0
バミューダ諸島,バミューダ諸島,-4,-3,1
スタンリー,フォークランド諸島,-3,-3,0
サンパウロ,ブラジル,-3,-3,0
ベレン,ブラジル,-3,-3,0
カイエンヌ,フランス領ギアナ,-3,-3,0
ロゼラ基地,ロゼラ基地,-3,-3,0
セント・ジョンズ,カナダ,-3.5,-2.5,1
ヌーク,グリーンランド,-3,-2,1
サウスジョージア島,サウスジョージア・サウスサンドウィッチ諸島,-2,-2,0
サンピエール,サンピエール島・ミクロン島,-3,-2,1
フェルナンド・デ・ノローニャ島,ブラジル,-2,-2,0
プライア,カーボベルデ,-1,-1,0
レイキャビク,アイスランド,0,0,0
アクラ,ガーナ,0,0,0
バンジュール,ガンビア,0,0,0
コナクリ,ギニア,0,0,0
ビサウ,ギニアビサウ,0,0,0
デンマークシャウン,グリーンランド,0,0,0
イトコルトルミット,グリーンランド,-1,0,1
アビジャン,コートジボワール,0,0,0
サントメ,サントメ・プリンシペ,0,0,0
フリータウン,シエラレオネ,0,0,0
ダカール,セネガル,0,0,0
セントヘレナ,セントヘレナ、アセンション及びトリスタン・ダ・クーニャ,0,0,0
ロメ,トーゴ,0,0,0
ブーベ島,ブーベ島,0,0,0
ワガドゥグー,ブルキナファソ,0,0,0
アゾレス諸島,ポルトガル,-1,0,1
バマコ,マリ,0,0,0
ヌアクショット,モーリタニア,0,0,0
モンロビア,リベリア,0,0,0
ダブリン,アイルランド,0,1,1
アルジェ,アルジェリア,1,1,0
ルアンダ,アンゴラ,1,1,0
ロンドン,イギリス,0,1,1
ガーンジー島,ガーンジー島,0,1,1
リーブルヴィル,ガボン,1,1,0
ドゥアラ,カメルーン,1,1,0
ブラザビル,コンゴ共和国,1,1,0
キンシャサ,コンゴ民主共和国,1,1,0
ジャージー島,ジャージー島,0,1,1
グラン・カナリア島,スペイン,0,1,1
ンジャメナ,チャド,1,1,0
チュニス,チュニジア,1,1,0
ラゴス,ナイジェリア,1,1,0
ニアメ,ニジェール,1,1,0
フェロー諸島,フェロー諸島,0,1,1
ポルトノボ,ベナン,1,1,0
リスボン,ポルトガル,0,1,1
マデイラ諸島,ポルトガル,0,1,1
マン島,マン島,0,1,1
カサブランカ,モロッコ,1,1,0
アイウン,西サハラ,1,1,0
マラボ,赤道ギニア,1,1,0
バンギ,中央アフリカ,1,1,0
ティラナ,アルバニア,1,2,1
アンドラ,アンドラ,1,2,1
ローマ,イタリア,1,2,1
カイロ,エジプト,2,2,0
ウィーン,オーストリア,1,2,1
アムステルダム,オランダ,1,2,1
ザグレブ,クロアチア,1,2,1
ルブンバシ,コンゴ民主共和国,2,2,0
ルサカ,ザンビア,2,2,0
サンマリノ,サンマリノ,1,2,1
ジブラルタル,ジブラルタル,1,2,1
ハラレ,ジンバブエ,2,2,0
チューリッヒ,スイス,1,2,1
ロングイェールビーン,スヴァールバル諸島・ヤンマイエン島,1,2,1
ストックホルム,スウェーデン,1,2,1
ハルツーム,スーダン,2,2,0
マドリード,スペイン,1,2,1
セウタ,スペイン,1,2,1
ブラチスラヴァ,スロバキア,1,2,1
リュブリャナ,スロベニア,1,2,1
ムババーネ,スワジランド,2,2,0
ベオグラード,セルビア,1,2,1
プラハ,チェコ,1,2,1
コペンハーゲン,デンマーク,1,2,1
ベルリン,ドイツ,1,2,1
トロール基地,トロール基地,1,2,1
ウィントフック,ナミビア,2,2,0
オスロ,ノルウェー,1,2,1
バチカン,バチカン,1,2,1
ブダペスト,ハンガリー,1,2,1
パリ,フランス,1,2,1
ブジュンブラ,ブルンジ,2,2,0
ブリュッセル,ベルギー,1,2,1
ワルシャワ,ポーランド,1,2,1
サラエヴォ,ボスニア・ヘルツェゴビナ,1,2,1
ハボローネ,ボツワナ,2,2,0
スコピエ,マケドニア共和国,1,2,1
ブランタイヤ,マラウイ,2,2,0
マルタ,マルタ,1,2,1
マプト,モザンビーク,2,2,0
モナコ,モナコ,1,2,1
ポドゴリツァ,モンテネグロ,1,2,1
トリポリ,リビア,2,2,0
ファドゥーツ,リヒテンシュタイン,1,2,1
ルクセンブルク,ルクセンブルク,1,2,1
キガリ,ルワンダ,2,2,0
マセル,レソト,2,2,0
カリーニングラード,ロシア,2,2,0
ヨハネスブルグ,南アフリカ,2,2,0
ジュバ,南スーダン,2,2,0
アデン,イエメン,3,3,0
エルサレム,イスラエル,2,3,1
バグダッド,イラク,3,3,0
カンパラ,ウガンダ,3,3,0
キエフ,ウクライナ,2,3,1
タリン,エストニア,2,3,1
アディスアベバ,エチオピア,3,3,0
アスマラ,エリトリア,3,3,0
マリエハムン,オーランド諸島,2,3,1
ドーハ,カタール,3,3,0
ニコシア,キプロス,2,3,1
アテネ,ギリシャ,2,3,1
クウェート,クウェート,3,3,0
ナイロビ,ケニア,3,3,0
モロニ,コモロ,3,3,0
リヤド,サウジアラビア,3,3,0
ジブチ,ジブチ,3,3,0
ダマスカス,シリア,2,3,1
モガディシュ,ソマリア,3,3,0
ダルエスサラーム,タンザニア,3,3,0
アンカラ,トルコ,3,3,0
イスタンブル,トルコ,3,3,0
マナーマ,バーレーン,3,3,0
ガザ,パレスチナ,2,3,1
ヘルシンキ,フィンランド,2,3,1
ソフィア,ブルガリア,2,3,1
ミンスク,ベラルーシ,3,3,0
アンタナナリボ,マダガスカル,3,3,0
マヨット,マヨット,3,3,0
キシナウ,モルドバ,2,3,1
アンマン,ヨルダン,2,3,1
リガ,ラトビア,2,3,1
ビリニュス,リトアニア,2,3,1
ブカレスト,ルーマニア,2,3,1
ベイルート,レバノン,2,3,1
モスクワ,ロシア,3,3,0
昭和基地,昭和基地,3,3,0
バクー,アゼルバイジャン,4,4,0
ドバイ,アラブ首長国連邦,4,4,0
エレバン,アルメニア,4,4,0
マスカット,オマーン,4,4,0
トビリシ,ジョージア,4,4,0
マヘ島,セーシェル,4,4,0
ポートルイス,モーリシャス,4,4,0
レユニオン,レユニオン,4,4,0
サマーラ,ロシア,4,4,0
カブール,アフガニスタン,4.5,4.5,0
テヘラン,イラン,3.5,4.5,1
タシュケント,ウズベキスタン,5,5,0
アクトベ,カザフスタン,5,5,0
ドゥシャンベ,タジキスタン,5,5,0
アシガバート,トルクメニスタン,5,5,0
ハード島,ハード島・マクドナルド諸島,5,5,0
カラチ,パキスタン,5,5,0
ケルゲレン諸島,フランス領南方・南極地域,5,5,0
モーソン基地,モーソン基地,5,5,0
マレ島,モルディブ,5,5,0
エカテリンブルグ,ロシア,5,5,0
コルカタ,インド,5.5,5.5,0
コロンボ,スリランカ,5.5,5.5,0
カトマンズ,ネパール,5.75,5.75,0
チャゴス諸島,イギリス領インド洋地域,6,6,0
アルマトイ,カザフスタン,6,6,0
ビシュケク,キルギス,6,6,0
ダッカ,バングラデシュ,6,6,0
ティンプー,ブータン,6,6,0
ボストーク基地,ボストーク基地,6,6,0
オムスク,ロシア,6,6,0
ココス諸島,ココス諸島,6.5,6.5,0
ヤンゴン,ミャンマー,6.5,6.5,0
ジャカルタ,インドネシア,7,7,0
プノンペン,カンボジア,7,7,0
クリスマス島,クリスマス島,7,7,0
バンコク,タイ,7,7,0
デービス基地,デービス基地,7,7,0
ホーチミン,ベトナム,7,7,0
ホブド,モンゴル,7,7,0
ヴィエンチャン,ラオス,7,7,0
クラスノヤルスク,ロシア,7,7,0
バリ島,インドネシア,8,8,0
パース,オーストラリア,8,8,0
シンガポール,シンガポール,8,8,0
マニラ,フィリピン,8,8,0
ブルネイ,ブルネイ,8,8,0
マカオ,マカオ,8,8,0
クアラルンプール,マレーシア,8,8,0
ウランバートル,モンゴル,8,8,0
イルクーツク,ロシア,8,8,0
香港,香港,8,8,0
台北,台湾,8,8,0
上海,中国,8,8,0
ジャヤプラ,インドネシア,9,9,0
パラオ,パラオ,9,9,0
ヤクーツク,ロシア,9,9,0
ソウル,韓国,9,9,0
ディリ,東ティモール,9,9,0
東京,日本,9,9,0
平壌,北朝鮮,9,9,0
アデレード,オーストラリア,8.5,9.5,1
ダーウィン,オーストラリア,9.5,9.5,0
シドニー,オーストラリア,9,10,1
ブリスベン,オーストラリア,10,10,0
グアム,グアム,10,10,0
デュモン・デュルヴィル基地,デュモン・デュルヴィル基地,10,10,0
ポートモレスビー,パプアニューギニア,10,10,0
チューク州,ミクロネシア連邦,10,10,0
ウラジオストク,ロシア,10,10,0
サイパン島,北マリアナ諸島,10,10,0
ロード・ハウ島,オーストラリア,9.5,10.5,1
ケーシー基地,ケーシー基地,11,11,0
ガダルカナル島,ソロモン諸島,11,11,0
ヌメア,ニューカレドニア,11,11,0
ノーフォーク島,ノーフォーク島,10,11,1
ポートビラ,バヌアツ,11,11,0
ブーゲンビル島,パプアニューギニア,11,11,0
ポンペイ州,ミクロネシア連邦,11,11,0
コスラエ州,ミクロネシア連邦,11,11,0
スレドネコリムスク,ロシア,11,11,0
アムンゼン・スコット基地,アムンゼン・スコット基地,11,12,1
ウォリス島,ウォリス・フツナ,12,12,0
タラワ環礁,キリバス,12,12,0
フナフティ島,ツバル,12,12,0
ナウル,ナウル,12,12,0
オークランド,ニュージーランド,11,12,1
スバ,フィジー,11,12,1
マジュロ,マーシャル諸島,12,12,0
マクマード基地,マクマード基地,11,12,1
カムチャッカ,ロシア,12,12,0
ウェーク島,合衆国領有小離島,12,12,0
チャタム島,ニュージーランド,11.75,12.75,1
エンダーベリー島,キリバス,13,13,0
アピア,サモア,13,13,0
ファカオフォ島,トケラウ諸島,13,13,0
トンガタプ島,トンガ,13,13,0
キリスィマスィ島,キリバス,14,14,0
